model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8fo6-model-1_A_Z,0.108,0.371,0.977273
2,8fo6-model-2_A_Z,16.171,32.659,0.0
3,8fo6-model-3_A_Z,19.781,44.128,0.0
4,8fo6-model-4_A_Z,16.699,47.851,0.0
5,8fo6-model-5_A_Z,29.044,78.283,0.0
6,8fo6-model-6_A_Z,23.27,68.853,0.0
7,8fo6-model-7_A_Z,31.074,67.435,0.0
8,8fo6-model-8_A_Z,22.004,47.745,0.0
9,8fo6-model-9_A_Z,30.458,62.12,0.0
10,8fo6-model-10_A_Z,19.855,33.202,0.0
11,8fo6-model-11_A_Z,25.28,67.925,0.0
12,8fo6-model-12_A_Z,22.528,49.365,0.0
13,8fo6-model-13_A_Z,16.349,44.194,0.0
14,8fo6-model-14_A_Z,21.07,46.788,0.0
15,8fo6-model-15_A_Z,27.124,88.442,0.0
16,8fo6-model-16_A_Z,12.02,35.915,0.011364
17,8fo6-model-17_A_Z,15.62,31.421,0.011364
18,8fo6-model-18_A_Z,23.62,63.644,0.0
19,8fo6-model-19_A_Z,23.174,64.775,0.0
20,8fo6-model-20_A_Z,21.544,59.751,0.0
21,8fo6-model-21_A_Z,25.128,84.565,0.0
22,8fo6-model-22_A_Z,30.526,87.517,0.0
23,8fo6-model-23_A_Z,14.444,40.581,0.0
24,8fo6-model-24_A_Z,20.117,46.626,0.0
25,8fo6-model-25_A_Z,23.192,53.579,0.0
26,8fo6-model-26_A_Z,21.275,40.314,0.0
27,8fo6-model-27_A_Z,16.739,35.614,0.0
28,8fo6-model-28_A_Z,27.291,72.18,0.0
29,8fo6-model-29_A_Z,45.096,109.684,0.0
30,8fo6-model-30_A_Z,17.388,34.717,0.0
31,8fo6-model-31_A_Z,22.393,60.337,0.0
32,8fo6-model-32_A_Z,25.524,72.422,0.0
33,8fo6-model-33_A_Z,2.196,6.408,0.590909
34,8fo6-model-34_A_Z,27.006,77.171,0.0
35,8fo6-model-35_A_Z,13.455,42.255,0.0
36,8fo6-model-36_A_Z,25.39,60.299,0.0
37,8fo6-model-37_A_Z,21.58,48.98,0.0
38,8fo6-model-38_A_Z,25.257,72.54,0.0
39,8fo6-model-39_A_Z,19.349,53.42,0.0
40,8fo6-model-40_A_Z,31.198,71.473,0.0
41,8fo6-model-41_A_Z,23.084,60.964,0.0
42,8fo6-model-42_A_Z,25.832,66.665,0.0
43,8fo6-model-43_A_Z,25.717,79.138,0.0
44,8fo6-model-44_A_Z,20.538,39.724,0.0
45,8fo6-model-45_A_Z,16.738,52.143,0.0
46,8fo6-model-46_A_Z,15.24,56.0,0.011364
47,8fo6-model-47_A_Z,20.046,48.043,0.0
48,8fo6-model-48_A_Z,23.258,51.552,0.0
49,8fo6-model-49_A_Z,23.962,76.064,0.0
50,8fo6-model-50_A_Z,24.317,65.285,0.0
51,8fo6-model-51_A_Z,13.119,37.306,0.0
52,8fo6-model-52_A_Z,28.311,72.437,0.0
53,8fo6-model-53_A_Z,24.725,66.395,0.0
54,8fo6-model-54_A_Z,34.104,77.431,0.0
55,8fo6-model-55_A_Z,26.662,63.747,0.0
56,8fo6-model-56_A_Z,25.073,65.71,0.0
57,8fo6-model-57_A_Z,14.42,39.346,0.0
58,8fo6-model-58_A_Z,24.602,61.995,0.0
59,8fo6-model-59_A_Z,28.371,90.55,0.0
60,8fo6-model-60_A_Z,15.467,46.743,0.0
61,8fo6-model-61_A_Z,36.332,80.075,0.0
62,8fo6-model-62_A_Z,25.215,64.282,0.0
63,8fo6-model-63_A_Z,32.574,66.487,0.0
64,8fo6-model-64_A_Z,25.421,61.539,0.0
65,8fo6-model-65_A_Z,17.096,46.458,0.0
66,8fo6-model-66_A_Z,19.918,59.794,0.0
67,8fo6-model-67_A_Z,21.627,48.992,0.0
68,8fo6-model-68_A_Z,23.242,65.757,0.0
69,8fo6-model-69_A_Z,13.249,42.593,0.045455
70,8fo6-model-70_A_Z,33.547,88.549,0.0
71,8fo6-model-71_A_Z,16.566,51.745,0.0
72,8fo6-model-72_A_Z,23.021,59.653,0.0
73,8fo6-model-73_A_Z,34.81,79.257,0.0
74,8fo6-model-74_A_Z,23.627,62.418,0.0
75,8fo6-model-75_A_Z,27.817,93.641,0.0
76,8fo6-model-76_A_Z,35.594,79.922,0.0
77,8fo6-model-77_A_Z,16.38,54.673,0.0
78,8fo6-model-78_A_Z,24.753,57.738,0.0
79,8fo6-model-79_A_Z,37.728,80.505,0.0
80,8fo6-model-80_A_Z,41.103,98.894,0.0
81,8fo6-model-81_A_Z,20.169,47.452,0.0
82,8fo6-model-82_A_Z,29.284,61.603,0.0
83,8fo6-model-83_A_Z,32.414,72.252,0.0
84,8fo6-model-84_A_Z,36.443,102.751,0.0
85,8fo6-model-85_A_Z,23.302,71.601,0.0
86,8fo6-model-86_A_Z,25.48,64.559,0.0
87,8fo6-model-87_A_Z,25.902,69.856,0.0
88,8fo6-model-88_A_Z,26.829,70.211,0.0
89,8fo6-model-89_A_Z,28.421,70.845,0.0
90,8fo6-model-90_A_Z,25.436,56.345,0.0
91,8fo6-model-91_A_Z,26.526,64.718,0.0
92,8fo6-model-92_A_Z,19.848,48.692,0.0
93,8fo6-model-93_A_Z,42.835,105.432,0.0
94,8fo6-model-94_A_Z,8.345,19.556,0.022727
95,8fo6-model-95_A_Z,20.593,57.731,0.0
96,8fo6-model-96_A_Z,19.38,65.338,0.0
97,8fo6-model-97_A_Z,30.345,85.73,0.0
98,8fo6-model-98_A_Z,35.486,77.464,0.0
99,8fo6-model-99_A_Z,27.215,89.068,0.0
100,8fo6-model-100_A_Z,15.581,34.637,0.0
