model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8a82-model-1_A_Z,0.203,0.423,0.911111
2,8a82-model-2_A_Z,20.761,42.558,0.0
3,8a82-model-3_A_Z,22.407,58.83,0.0
4,8a82-model-4_A_Z,17.769,54.772,0.0
5,8a82-model-5_A_Z,23.385,62.597,0.0
6,8a82-model-6_A_Z,21.442,66.61,0.0
7,8a82-model-7_A_Z,16.843,45.073,0.0
8,8a82-model-8_A_Z,18.769,50.194,0.0
9,8a82-model-9_A_Z,15.727,40.529,0.0
10,8a82-model-10_A_Z,14.563,23.93,0.0
11,8a82-model-11_A_Z,15.292,26.06,0.0
12,8a82-model-12_A_Z,20.507,63.304,0.0
13,8a82-model-13_A_Z,14.871,47.187,0.0
14,8a82-model-14_A_Z,14.688,45.506,0.0
15,8a82-model-15_A_Z,2.597,8.191,0.411111
16,8a82-model-16_A_Z,19.502,53.48,0.0
17,8a82-model-17_A_Z,5.162,11.99,0.211111
18,8a82-model-18_A_Z,19.177,45.885,0.0
19,8a82-model-19_A_Z,18.085,50.238,0.0
20,8a82-model-20_A_Z,20.242,49.514,0.0
21,8a82-model-21_A_Z,12.86,33.491,0.022222
22,8a82-model-22_A_Z,26.082,67.468,0.0
23,8a82-model-23_A_Z,18.927,45.602,0.0
24,8a82-model-24_A_Z,15.765,40.889,0.0
25,8a82-model-25_A_Z,25.418,63.514,0.0
26,8a82-model-26_A_Z,17.035,36.629,0.0
27,8a82-model-27_A_Z,17.426,60.798,0.0
28,8a82-model-28_A_Z,19.815,55.955,0.0
29,8a82-model-29_A_Z,19.044,52.305,0.0
30,8a82-model-30_A_Z,14.263,31.384,0.0
31,8a82-model-31_A_Z,17.729,47.944,0.0
32,8a82-model-32_A_Z,18.388,45.461,0.0
33,8a82-model-33_A_Z,18.694,42.673,0.0
34,8a82-model-34_A_Z,18.596,41.949,0.0
35,8a82-model-35_A_Z,19.675,53.056,0.0
36,8a82-model-36_A_Z,12.457,32.812,0.011111
37,8a82-model-37_A_Z,17.129,46.016,0.0
38,8a82-model-38_A_Z,15.974,29.795,0.0
39,8a82-model-39_A_Z,22.863,58.306,0.0
40,8a82-model-40_A_Z,22.519,68.709,0.0
41,8a82-model-41_A_Z,24.136,73.784,0.0
42,8a82-model-42_A_Z,15.238,38.576,0.0
43,8a82-model-43_A_Z,18.542,47.253,0.0
44,8a82-model-44_A_Z,24.05,56.84,0.0
45,8a82-model-45_A_Z,17.559,50.581,0.0
46,8a82-model-46_A_Z,24.544,62.464,0.0
47,8a82-model-47_A_Z,9.212,21.475,0.033333
48,8a82-model-48_A_Z,18.548,47.247,0.0
49,8a82-model-49_A_Z,20.46,62.006,0.0
50,8a82-model-50_A_Z,18.248,42.678,0.0
51,8a82-model-51_A_Z,22.769,69.648,0.0
52,8a82-model-52_A_Z,19.9,46.66,0.0
53,8a82-model-53_A_Z,16.979,60.523,0.0
54,8a82-model-54_A_Z,23.341,72.302,0.0
55,8a82-model-55_A_Z,16.26,40.019,0.011111
56,8a82-model-56_A_Z,17.053,32.621,0.0
57,8a82-model-57_A_Z,15.202,28.17,0.0
58,8a82-model-58_A_Z,25.025,74.292,0.0
59,8a82-model-59_A_Z,25.18,68.053,0.0
60,8a82-model-60_A_Z,20.264,45.856,0.0
61,8a82-model-61_A_Z,8.979,25.534,0.011111
62,8a82-model-62_A_Z,14.231,41.267,0.011111
63,8a82-model-63_A_Z,24.261,69.817,0.0
64,8a82-model-64_A_Z,14.34,33.195,0.033333
65,8a82-model-65_A_Z,22.151,60.718,0.0
66,8a82-model-66_A_Z,17.43,55.921,0.0
67,8a82-model-67_A_Z,21.408,69.583,0.0
68,8a82-model-68_A_Z,16.639,43.856,0.0
69,8a82-model-69_A_Z,21.733,53.974,0.0
70,8a82-model-70_A_Z,15.213,48.941,0.0
71,8a82-model-71_A_Z,14.074,42.979,0.0
72,8a82-model-72_A_Z,17.998,45.263,0.0
73,8a82-model-73_A_Z,16.291,26.754,0.011111
74,8a82-model-74_A_Z,16.927,59.921,0.0
75,8a82-model-75_A_Z,16.458,48.986,0.0
76,8a82-model-76_A_Z,27.158,70.059,0.0
77,8a82-model-77_A_Z,21.003,55.708,0.0
78,8a82-model-78_A_Z,24.944,70.228,0.0
79,8a82-model-79_A_Z,21.144,49.914,0.0
80,8a82-model-80_A_Z,16.996,47.999,0.0
81,8a82-model-81_A_Z,18.564,39.872,0.0
82,8a82-model-82_A_Z,20.556,41.51,0.0
83,8a82-model-83_A_Z,20.411,67.559,0.0
84,8a82-model-84_A_Z,21.635,56.027,0.0
85,8a82-model-85_A_Z,18.512,49.538,0.0
86,8a82-model-86_A_Z,18.896,47.633,0.0
87,8a82-model-87_A_Z,21.08,52.627,0.0
88,8a82-model-88_A_Z,7.13,20.024,0.033333
89,8a82-model-89_A_Z,19.054,40.205,0.011111
90,8a82-model-90_A_Z,23.745,72.841,0.0
91,8a82-model-91_A_Z,20.724,43.456,0.0
92,8a82-model-92_A_Z,13.978,23.878,0.0
93,8a82-model-93_A_Z,20.477,48.965,0.0
94,8a82-model-94_A_Z,19.154,43.688,0.0
95,8a82-model-95_A_Z,20.189,29.628,0.0
96,8a82-model-96_A_Z,22.332,62.355,0.0
97,8a82-model-97_A_Z,15.374,48.156,0.0
98,8a82-model-98_A_Z,19.176,29.192,0.0
99,8a82-model-99_A_Z,19.061,43.615,0.0
100,8a82-model-100_A_Z,22.111,72.685,0.0
