model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8c8p-model-1_A_Z,17.209,49.401,0.0
2,8c8p-model-2_A_Z,12.218,54.523,0.0
3,8c8p-model-3_A_Z,18.264,42.137,0.0
4,8c8p-model-4_A_Z,16.687,43.819,0.0
5,8c8p-model-5_A_Z,16.73,42.75,0.0
6,8c8p-model-6_A_Z,18.556,50.827,0.0
7,8c8p-model-7_A_Z,20.978,55.81,0.0
8,8c8p-model-8_A_Z,20.108,42.732,0.0
9,8c8p-model-9_A_Z,18.131,36.626,0.0
10,8c8p-model-10_A_Z,0.665,2.383,0.924528
11,8c8p-model-11_A_Z,21.392,42.876,0.0
12,8c8p-model-12_A_Z,16.368,56.021,0.018868
13,8c8p-model-13_A_Z,17.185,49.951,0.0
14,8c8p-model-14_A_Z,21.345,57.825,0.0
15,8c8p-model-15_A_Z,19.859,44.387,0.0
16,8c8p-model-16_A_Z,19.963,54.993,0.0
17,8c8p-model-17_A_Z,18.463,48.638,0.0
18,8c8p-model-18_A_Z,8.331,35.102,0.113208
19,8c8p-model-19_A_Z,20.24,55.49,0.0
20,8c8p-model-20_A_Z,17.244,49.768,0.0
21,8c8p-model-21_A_Z,18.951,44.657,0.0
22,8c8p-model-22_A_Z,17.175,45.497,0.0
23,8c8p-model-23_A_Z,17.365,43.779,0.0
24,8c8p-model-24_A_Z,18.506,53.566,0.0
25,8c8p-model-25_A_Z,21.624,58.892,0.0
26,8c8p-model-26_A_Z,17.24,49.405,0.0
27,8c8p-model-27_A_Z,18.474,45.736,0.0
28,8c8p-model-28_A_Z,19.16,54.998,0.0
29,8c8p-model-29_A_Z,20.912,43.918,0.0
30,8c8p-model-30_A_Z,20.609,43.024,0.0
31,8c8p-model-31_A_Z,14.773,55.603,0.0
32,8c8p-model-32_A_Z,19.021,50.666,0.0
33,8c8p-model-33_A_Z,19.683,43.008,0.0
34,8c8p-model-34_A_Z,23.26,54.535,0.0
35,8c8p-model-35_A_Z,17.357,54.082,0.0
36,8c8p-model-36_A_Z,15.345,55.871,0.0
37,8c8p-model-37_A_Z,16.058,57.283,0.0
38,8c8p-model-38_A_Z,20.61,55.435,0.0
39,8c8p-model-39_A_Z,16.869,38.191,0.0
40,8c8p-model-40_A_Z,16.102,36.048,0.0
41,8c8p-model-41_A_Z,16.755,43.659,0.0
42,8c8p-model-42_A_Z,20.36,43.265,0.0
43,8c8p-model-43_A_Z,17.504,50.949,0.0
44,8c8p-model-44_A_Z,18.658,55.875,0.0
45,8c8p-model-45_A_Z,19.246,51.11,0.0
46,8c8p-model-46_A_Z,11.319,32.83,0.056604
47,8c8p-model-47_A_Z,18.589,47.611,0.0
48,8c8p-model-48_A_Z,16.386,37.874,0.0
49,8c8p-model-49_A_Z,18.425,36.468,0.0
50,8c8p-model-50_A_Z,14.987,43.906,0.0
51,8c8p-model-51_A_Z,17.525,49.942,0.0
52,8c8p-model-52_A_Z,7.799,32.436,0.207547
53,8c8p-model-53_A_Z,24.989,59.979,0.0
54,8c8p-model-54_A_Z,18.935,57.708,0.0
55,8c8p-model-55_A_Z,20.805,56.803,0.0
56,8c8p-model-56_A_Z,19.063,51.06,0.0
57,8c8p-model-57_A_Z,13.722,24.655,0.0
58,8c8p-model-58_A_Z,13.393,23.285,0.018868
59,8c8p-model-59_A_Z,18.099,38.704,0.0
60,8c8p-model-60_A_Z,12.953,22.289,0.0
61,8c8p-model-61_A_Z,21.243,42.753,0.0
62,8c8p-model-62_A_Z,14.986,42.116,0.0
63,8c8p-model-63_A_Z,18.566,53.284,0.0
64,8c8p-model-64_A_Z,12.701,36.026,0.0
65,8c8p-model-65_A_Z,20.615,44.092,0.0
66,8c8p-model-66_A_Z,12.435,22.32,0.0
67,8c8p-model-67_A_Z,21.894,55.568,0.0
68,8c8p-model-68_A_Z,17.335,50.017,0.0
69,8c8p-model-69_A_Z,14.862,59.437,0.0
70,8c8p-model-70_A_Z,23.04,62.903,0.0
71,8c8p-model-71_A_Z,14.652,48.267,0.0
72,8c8p-model-72_A_Z,21.804,59.352,0.0
73,8c8p-model-73_A_Z,17.797,49.259,0.0
74,8c8p-model-74_A_Z,17.433,41.901,0.0
75,8c8p-model-75_A_Z,16.94,37.578,0.0
76,8c8p-model-76_A_Z,17.095,45.191,0.0
77,8c8p-model-77_A_Z,13.869,40.485,0.0
78,8c8p-model-78_A_Z,17.646,36.234,0.0
79,8c8p-model-79_A_Z,18.739,40.853,0.0
80,8c8p-model-80_A_Z,14.053,27.507,0.0
81,8c8p-model-81_A_Z,22.641,60.943,0.0
82,8c8p-model-82_A_Z,17.134,48.717,0.0
83,8c8p-model-83_A_Z,11.952,52.594,0.0
84,8c8p-model-84_A_Z,20.797,53.278,0.0
85,8c8p-model-85_A_Z,13.633,29.009,0.0
86,8c8p-model-86_A_Z,9.178,21.787,0.018868
87,8c8p-model-87_A_Z,19.149,62.034,0.0
88,8c8p-model-88_A_Z,18.028,56.321,0.0
89,8c8p-model-89_A_Z,12.113,20.461,0.0
90,8c8p-model-90_A_Z,18.1,53.609,0.0
91,8c8p-model-91_A_Z,6.301,28.397,0.113208
92,8c8p-model-92_A_Z,18.779,57.293,0.0
