model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8hbn-model-1_A_Z,0.128,0.277,0.958084
2,8hbn-model-2_A_Z,22.385,32.436,0.011976
3,8hbn-model-3_A_Z,2.71,4.961,0.227545
4,8hbn-model-4_A_Z,16.578,34.14,0.0
5,8hbn-model-5_A_Z,18.135,49.119,0.0
6,8hbn-model-6_A_Z,18.195,29.166,0.011976
7,8hbn-model-7_A_Z,5.497,9.984,0.053892
8,8hbn-model-8_A_Z,19.942,48.53,0.0
9,8hbn-model-9_A_Z,23.227,36.954,0.023952
10,8hbn-model-10_A_Z,21.378,31.634,0.005988
11,8hbn-model-11_A_Z,7.896,14.672,0.005988
12,8hbn-model-12_A_Z,22.356,46.35,0.0
13,8hbn-model-13_A_Z,21.865,45.547,0.0
14,8hbn-model-14_A_Z,17.233,27.645,0.0
15,8hbn-model-15_A_Z,23.177,37.029,0.005988
16,8hbn-model-16_A_Z,14.98,23.997,0.005988
17,8hbn-model-17_A_Z,15.654,24.044,0.005988
18,8hbn-model-18_A_Z,22.325,35.051,0.005988
19,8hbn-model-19_A_Z,28.184,53.534,0.0
20,8hbn-model-20_A_Z,25.454,42.788,0.0
21,8hbn-model-21_A_Z,19.094,47.197,0.0
22,8hbn-model-22_A_Z,15.402,25.19,0.0
23,8hbn-model-23_A_Z,21.532,47.095,0.0
24,8hbn-model-24_A_Z,19.664,39.517,0.0
25,8hbn-model-25_A_Z,10.316,18.367,0.0
26,8hbn-model-26_A_Z,8.77,14.624,0.005988
27,8hbn-model-27_A_Z,20.274,34.437,0.0
28,8hbn-model-28_A_Z,6.511,14.437,0.167665
29,8hbn-model-29_A_Z,23.555,51.795,0.0
30,8hbn-model-30_A_Z,3.652,6.86,0.11976
31,8hbn-model-31_A_Z,31.069,64.478,0.0
32,8hbn-model-32_A_Z,26.497,54.926,0.0
33,8hbn-model-33_A_Z,29.651,56.658,0.0
34,8hbn-model-34_A_Z,22.824,33.724,0.005988
35,8hbn-model-35_A_Z,12.682,20.469,0.023952
36,8hbn-model-36_A_Z,25.935,54.433,0.0
37,8hbn-model-37_A_Z,9.726,17.182,0.053892
38,8hbn-model-38_A_Z,28.037,58.931,0.0
39,8hbn-model-39_A_Z,29.197,57.662,0.0
40,8hbn-model-40_A_Z,25.321,50.951,0.0
41,8hbn-model-41_A_Z,24.441,44.44,0.011976
42,8hbn-model-42_A_Z,22.846,33.025,0.005988
43,8hbn-model-43_A_Z,22.641,34.342,0.005988
44,8hbn-model-44_A_Z,22.919,45.667,0.0
45,8hbn-model-45_A_Z,19.563,51.79,0.0
46,8hbn-model-46_A_Z,17.379,29.173,0.035928
47,8hbn-model-47_A_Z,21.264,52.499,0.0
48,8hbn-model-48_A_Z,21.42,33.124,0.0
49,8hbn-model-49_A_Z,27.073,53.198,0.0
50,8hbn-model-50_A_Z,24.593,41.642,0.0
51,8hbn-model-51_A_Z,22.7,35.065,0.011976
52,8hbn-model-52_A_Z,14.795,39.593,0.02994
53,8hbn-model-53_A_Z,21.708,47.477,0.0
54,8hbn-model-54_A_Z,21.595,32.27,0.0
55,8hbn-model-55_A_Z,11.639,20.358,0.047904
56,8hbn-model-56_A_Z,11.36,18.735,0.017964
57,8hbn-model-57_A_Z,26.46,56.049,0.0
58,8hbn-model-58_A_Z,12.738,21.199,0.017964
59,8hbn-model-59_A_Z,12.211,33.361,0.02994
60,8hbn-model-60_A_Z,8.051,14.336,0.017964
61,8hbn-model-61_A_Z,22.987,50.499,0.0
62,8hbn-model-62_A_Z,11.645,23.104,0.0
63,8hbn-model-63_A_Z,26.826,56.394,0.0
64,8hbn-model-64_A_Z,17.564,27.04,0.0
65,8hbn-model-65_A_Z,7.801,14.044,0.0
66,8hbn-model-66_A_Z,25.215,56.535,0.0
67,8hbn-model-67_A_Z,31.349,72.364,0.0
68,8hbn-model-68_A_Z,15.508,25.232,0.011976
69,8hbn-model-69_A_Z,26.383,54.466,0.0
70,8hbn-model-70_A_Z,21.438,54.137,0.0
71,8hbn-model-71_A_Z,15.888,25.833,0.011976
72,8hbn-model-72_A_Z,19.6,34.955,0.0
73,8hbn-model-73_A_Z,23.18,46.724,0.0
74,8hbn-model-74_A_Z,22.628,45.498,0.0
75,8hbn-model-75_A_Z,20.662,30.846,0.0
76,8hbn-model-76_A_Z,23.602,47.793,0.0
77,8hbn-model-77_A_Z,24.682,53.384,0.0
78,8hbn-model-78_A_Z,9.821,16.797,0.017964
79,8hbn-model-79_A_Z,22.839,44.012,0.0
80,8hbn-model-80_A_Z,12.683,22.836,0.0
81,8hbn-model-81_A_Z,16.285,29.235,0.0
82,8hbn-model-82_A_Z,23.341,34.401,0.0
83,8hbn-model-83_A_Z,16.75,28.47,0.0
84,8hbn-model-84_A_Z,21.014,48.992,0.0
85,8hbn-model-85_A_Z,21.686,45.107,0.0
86,8hbn-model-86_A_Z,28.014,55.906,0.0
87,8hbn-model-87_A_Z,19.345,29.624,0.0
88,8hbn-model-88_A_Z,24.904,57.642,0.0
89,8hbn-model-89_A_Z,22.369,50.816,0.0
90,8hbn-model-90_A_Z,20.699,35.903,0.0
91,8hbn-model-91_A_Z,28.757,60.785,0.0
92,8hbn-model-92_A_Z,23.872,48.739,0.0
93,8hbn-model-93_A_Z,15.892,25.273,0.011976
94,8hbn-model-94_A_Z,22.04,52.819,0.0
95,8hbn-model-95_A_Z,23.485,54.383,0.005988
96,8hbn-model-96_A_Z,22.495,52.596,0.0
97,8hbn-model-97_A_Z,24.997,44.884,0.0
98,8hbn-model-98_A_Z,13.131,23.905,0.0
99,8hbn-model-99_A_Z,28.772,57.108,0.0
100,8hbn-model-100_A_Z,19.631,30.611,0.005988
