model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8br9-model-1_A_Z,0.194,0.488,0.953846
2,8br9-model-2_A_Z,11.899,25.478,0.0
3,8br9-model-3_A_Z,11.93,25.341,0.015385
4,8br9-model-4_A_Z,17.252,44.678,0.0
5,8br9-model-5_A_Z,17.55,45.294,0.0
6,8br9-model-6_A_Z,12.69,31.03,0.0
7,8br9-model-7_A_Z,14.874,36.43,0.0
8,8br9-model-8_A_Z,8.25,20.099,0.138462
9,8br9-model-9_A_Z,10.689,21.692,0.015385
10,8br9-model-10_A_Z,18.264,47.643,0.0
11,8br9-model-11_A_Z,14.144,35.733,0.0
12,8br9-model-12_A_Z,10.36,24.009,0.046154
13,8br9-model-13_A_Z,9.167,22.364,0.0
14,8br9-model-14_A_Z,10.178,23.466,0.015385
15,8br9-model-15_A_Z,13.797,34.454,0.0
16,8br9-model-16_A_Z,18.62,44.244,0.0
17,8br9-model-17_A_Z,9.86,23.147,0.0
18,8br9-model-18_A_Z,11.531,24.276,0.092308
19,8br9-model-19_A_Z,15.851,38.488,0.0
20,8br9-model-20_A_Z,17.889,42.106,0.0
21,8br9-model-21_A_Z,5.01,12.297,0.046154
22,8br9-model-22_A_Z,11.501,23.45,0.046154
23,8br9-model-23_A_Z,10.001,25.136,0.0
24,8br9-model-24_A_Z,9.709,24.266,0.0
25,8br9-model-25_A_Z,15.321,35.69,0.0
26,8br9-model-26_A_Z,10.925,28.03,0.0
27,8br9-model-27_A_Z,17.78,42.871,0.0
28,8br9-model-28_A_Z,17.186,41.89,0.0
29,8br9-model-29_A_Z,12.331,32.953,0.0
30,8br9-model-30_A_Z,5.074,11.893,0.061538
31,8br9-model-31_A_Z,10.819,28.516,0.0
32,8br9-model-32_A_Z,11.271,30.115,0.0
33,8br9-model-33_A_Z,17.796,46.513,0.0
34,8br9-model-34_A_Z,13.766,34.416,0.0
35,8br9-model-35_A_Z,9.657,22.605,0.0
36,8br9-model-36_A_Z,12.246,30.575,0.0
37,8br9-model-37_A_Z,14.114,37.219,0.0
38,8br9-model-38_A_Z,4.641,11.198,0.246154
39,8br9-model-39_A_Z,14.088,33.92,0.0
40,8br9-model-40_A_Z,9.979,21.01,0.0
41,8br9-model-41_A_Z,11.792,31.283,0.0
42,8br9-model-42_A_Z,10.336,22.439,0.0
43,8br9-model-43_A_Z,13.529,36.849,0.0
44,8br9-model-44_A_Z,12.297,29.712,0.0
45,8br9-model-45_A_Z,17.872,42.877,0.0
46,8br9-model-46_A_Z,13.219,30.776,0.0
47,8br9-model-47_A_Z,11.316,23.613,0.015385
48,8br9-model-48_A_Z,17.579,45.29,0.0
49,8br9-model-49_A_Z,17.337,45.129,0.0
50,8br9-model-50_A_Z,11.663,31.071,0.0
51,8br9-model-51_A_Z,3.581,8.751,0.076923
52,8br9-model-52_A_Z,17.295,43.998,0.0
53,8br9-model-53_A_Z,17.624,45.346,0.0
54,8br9-model-54_A_Z,13.955,33.746,0.0
55,8br9-model-55_A_Z,14.619,37.987,0.0
56,8br9-model-56_A_Z,13.619,33.964,0.0
57,8br9-model-57_A_Z,12.742,28.642,0.061538
58,8br9-model-58_A_Z,12.569,28.669,0.0
59,8br9-model-59_A_Z,14.012,31.102,0.061538
60,8br9-model-60_A_Z,19.161,44.857,0.0
61,8br9-model-61_A_Z,11.792,26.392,0.076923
62,8br9-model-62_A_Z,11.683,24.681,0.030769
63,8br9-model-63_A_Z,13.098,34.435,0.0
64,8br9-model-64_A_Z,12.156,25.647,0.046154
65,8br9-model-65_A_Z,13.118,35.671,0.0
66,8br9-model-66_A_Z,17.95,43.88,0.0
67,8br9-model-67_A_Z,18.435,45.88,0.0
68,8br9-model-68_A_Z,14.827,37.239,0.0
69,8br9-model-69_A_Z,9.157,22.429,0.0
70,8br9-model-70_A_Z,15.676,38.092,0.0
71,8br9-model-71_A_Z,13.519,33.44,0.0
72,8br9-model-72_A_Z,14.882,37.081,0.0
73,8br9-model-73_A_Z,11.822,31.542,0.0
74,8br9-model-74_A_Z,17.958,43.948,0.0
75,8br9-model-75_A_Z,17.474,43.208,0.0
76,8br9-model-76_A_Z,17.165,45.505,0.0
77,8br9-model-77_A_Z,16.495,41.207,0.0
78,8br9-model-78_A_Z,17.813,44.069,0.0
79,8br9-model-79_A_Z,14.056,36.035,0.0
80,8br9-model-80_A_Z,16.797,43.074,0.0
81,8br9-model-81_A_Z,13.771,30.726,0.030769
82,8br9-model-82_A_Z,19.28,48.106,0.0
83,8br9-model-83_A_Z,14.762,37.759,0.0
84,8br9-model-84_A_Z,16.883,41.859,0.0
85,8br9-model-85_A_Z,16.225,41.299,0.0
86,8br9-model-86_A_Z,11.53,24.59,0.030769
87,8br9-model-87_A_Z,10.763,27.912,0.0
88,8br9-model-88_A_Z,4.629,11.07,0.061538
89,8br9-model-89_A_Z,18.712,46.747,0.0
90,8br9-model-90_A_Z,13.369,31.636,0.0
91,8br9-model-91_A_Z,14.232,35.905,0.0
92,8br9-model-92_A_Z,14.994,39.561,0.0
93,8br9-model-93_A_Z,18.966,46.723,0.0
94,8br9-model-94_A_Z,18.117,45.816,0.0
95,8br9-model-95_A_Z,18.383,46.91,0.0
96,8br9-model-96_A_Z,17.002,43.788,0.0
97,8br9-model-97_A_Z,9.604,25.745,0.0
98,8br9-model-98_A_Z,15.539,40.137,0.0
99,8br9-model-99_A_Z,11.669,28.922,0.0
100,8br9-model-100_A_Z,8.275,20.027,0.0
