model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8g18-model-1_A_Z,0.181,0.657,0.931507
2,8g18-model-2_A_Z,21.072,71.632,0.0
3,8g18-model-3_A_Z,17.066,52.45,0.0
4,8g18-model-4_A_Z,21.105,71.443,0.0
5,8g18-model-5_A_Z,24.143,77.61,0.0
6,8g18-model-6_A_Z,28.395,73.08,0.0
7,8g18-model-7_A_Z,8.76,33.321,0.013699
8,8g18-model-8_A_Z,15.092,23.745,0.0
9,8g18-model-9_A_Z,19.816,61.62,0.0
10,8g18-model-10_A_Z,25.93,72.252,0.0
11,8g18-model-11_A_Z,23.031,76.256,0.0
12,8g18-model-12_A_Z,23.217,67.915,0.0
13,8g18-model-13_A_Z,22.154,56.326,0.0
14,8g18-model-14_A_Z,20.424,39.118,0.0
15,8g18-model-15_A_Z,17.038,28.281,0.0
16,8g18-model-16_A_Z,28.316,68.373,0.0
17,8g18-model-17_A_Z,10.712,25.73,0.0
18,8g18-model-18_A_Z,24.792,71.247,0.0
19,8g18-model-19_A_Z,22.933,77.314,0.0
20,8g18-model-20_A_Z,28.062,62.787,0.0
21,8g18-model-21_A_Z,22.476,71.517,0.0
22,8g18-model-22_A_Z,28.645,78.064,0.0
23,8g18-model-23_A_Z,16.685,48.829,0.0
24,8g18-model-24_A_Z,27.881,74.398,0.0
25,8g18-model-25_A_Z,17.251,40.353,0.0
26,8g18-model-26_A_Z,18.93,40.217,0.0
27,8g18-model-27_A_Z,21.026,77.635,0.0
28,8g18-model-28_A_Z,15.746,33.032,0.0
29,8g18-model-29_A_Z,12.785,26.817,0.0
30,8g18-model-30_A_Z,17.452,73.976,0.0
31,8g18-model-31_A_Z,26.163,63.194,0.0
32,8g18-model-32_A_Z,26.198,55.522,0.0
33,8g18-model-33_A_Z,23.601,71.691,0.0
34,8g18-model-34_A_Z,34.091,84.258,0.0
35,8g18-model-35_A_Z,21.143,48.026,0.0
36,8g18-model-36_A_Z,21.737,46.29,0.0
37,8g18-model-37_A_Z,6.824,15.272,0.0
38,8g18-model-38_A_Z,22.933,69.426,0.0
39,8g18-model-39_A_Z,21.512,77.162,0.0
40,8g18-model-40_A_Z,9.627,15.544,0.0
41,8g18-model-41_A_Z,34.105,85.235,0.0
42,8g18-model-42_A_Z,21.117,63.488,0.0
43,8g18-model-43_A_Z,23.197,75.803,0.0
44,8g18-model-44_A_Z,22.748,50.766,0.0
45,8g18-model-45_A_Z,24.494,65.866,0.0
46,8g18-model-46_A_Z,28.507,72.139,0.0
47,8g18-model-47_A_Z,24.596,56.184,0.0
48,8g18-model-48_A_Z,24.227,55.981,0.0
49,8g18-model-49_A_Z,25.408,60.228,0.0
50,8g18-model-50_A_Z,22.838,74.421,0.0
51,8g18-model-51_A_Z,19.099,39.978,0.0
52,8g18-model-52_A_Z,32.102,79.336,0.0
53,8g18-model-53_A_Z,27.173,58.095,0.0
54,8g18-model-54_A_Z,22.71,42.123,0.0
55,8g18-model-55_A_Z,22.629,61.945,0.013699
56,8g18-model-56_A_Z,30.015,76.823,0.0
57,8g18-model-57_A_Z,28.491,78.514,0.0
58,8g18-model-58_A_Z,19.6,37.412,0.0
59,8g18-model-59_A_Z,21.956,56.749,0.0
60,8g18-model-60_A_Z,18.528,47.94,0.041096
61,8g18-model-61_A_Z,12.415,42.088,0.013699
62,8g18-model-62_A_Z,25.334,67.711,0.0
63,8g18-model-63_A_Z,15.979,24.554,0.0
64,8g18-model-64_A_Z,22.458,74.169,0.0
65,8g18-model-65_A_Z,22.472,61.672,0.0
66,8g18-model-66_A_Z,13.321,26.022,0.0
67,8g18-model-67_A_Z,25.607,67.069,0.0
68,8g18-model-68_A_Z,22.065,51.541,0.0
69,8g18-model-69_A_Z,19.103,77.177,0.0
70,8g18-model-70_A_Z,34.648,70.465,0.0
71,8g18-model-71_A_Z,17.401,73.583,0.0
72,8g18-model-72_A_Z,25.529,87.961,0.0
73,8g18-model-73_A_Z,27.455,62.185,0.0
74,8g18-model-74_A_Z,27.046,60.958,0.0
75,8g18-model-75_A_Z,16.065,44.938,0.0
76,8g18-model-76_A_Z,31.216,69.746,0.0
77,8g18-model-77_A_Z,27.052,67.514,0.0
78,8g18-model-78_A_Z,29.962,72.578,0.0
79,8g18-model-79_A_Z,16.25,52.944,0.0
80,8g18-model-80_A_Z,18.548,29.953,0.0
81,8g18-model-81_A_Z,22.949,51.307,0.0
82,8g18-model-82_A_Z,29.445,70.48,0.0
83,8g18-model-83_A_Z,28.112,77.277,0.0
84,8g18-model-84_A_Z,29.82,74.65,0.0
85,8g18-model-85_A_Z,18.434,31.897,0.0
86,8g18-model-86_A_Z,18.959,62.27,0.0
87,8g18-model-87_A_Z,23.942,80.008,0.0
88,8g18-model-88_A_Z,18.265,56.356,0.0
89,8g18-model-89_A_Z,31.172,77.837,0.0
90,8g18-model-90_A_Z,24.273,66.429,0.0
91,8g18-model-91_A_Z,25.925,70.0,0.0
92,8g18-model-92_A_Z,30.232,72.354,0.0
93,8g18-model-93_A_Z,21.589,77.699,0.0
94,8g18-model-94_A_Z,24.662,68.714,0.0
95,8g18-model-95_A_Z,29.073,64.622,0.0
96,8g18-model-96_A_Z,17.878,41.713,0.0
97,8g18-model-97_A_Z,26.83,80.223,0.0
98,8g18-model-98_A_Z,22.998,66.424,0.0
99,8g18-model-99_A_Z,23.074,74.817,0.0
100,8g18-model-100_A_Z,25.447,59.71,0.0
