model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8emr-model-1_A_Z,18.909,58.345,0.0
2,8emr-model-2_A_Z,0.403,1.032,0.928571
3,8emr-model-3_A_Z,22.884,62.049,0.0
4,8emr-model-4_A_Z,23.274,63.163,0.0
5,8emr-model-5_A_Z,22.355,52.959,0.0
6,8emr-model-6_A_Z,26.664,68.809,0.0
7,8emr-model-7_A_Z,23.821,66.063,0.0
8,8emr-model-8_A_Z,23.649,64.013,0.0
9,8emr-model-9_A_Z,12.22,24.795,0.02381
10,8emr-model-10_A_Z,15.816,54.951,0.0
11,8emr-model-11_A_Z,29.993,85.087,0.0
12,8emr-model-12_A_Z,11.449,25.023,0.0
13,8emr-model-13_A_Z,20.623,54.332,0.0
14,8emr-model-14_A_Z,25.051,58.121,0.0
15,8emr-model-15_A_Z,21.631,55.27,0.0
16,8emr-model-16_A_Z,20.48,56.07,0.0
17,8emr-model-17_A_Z,25.459,64.562,0.0
18,8emr-model-18_A_Z,24.536,66.284,0.0
19,8emr-model-19_A_Z,22.215,59.962,0.0
20,8emr-model-20_A_Z,29.467,77.531,0.0
21,8emr-model-21_A_Z,16.137,56.158,0.0
22,8emr-model-22_A_Z,22.544,60.332,0.0
23,8emr-model-23_A_Z,30.541,77.214,0.0
24,8emr-model-24_A_Z,11.224,21.37,0.0
25,8emr-model-25_A_Z,6.497,17.177,0.119048
26,8emr-model-26_A_Z,29.137,69.066,0.0
27,8emr-model-27_A_Z,18.29,52.645,0.0
28,8emr-model-28_A_Z,32.062,81.097,0.0
29,8emr-model-29_A_Z,16.733,39.414,0.0
30,8emr-model-30_A_Z,20.048,49.108,0.0
31,8emr-model-31_A_Z,14.458,25.778,0.071429
32,8emr-model-32_A_Z,11.61,27.634,0.0
33,8emr-model-33_A_Z,10.805,21.469,0.0
34,8emr-model-34_A_Z,21.389,61.898,0.0
35,8emr-model-35_A_Z,24.285,68.377,0.0
36,8emr-model-36_A_Z,16.359,56.261,0.0
37,8emr-model-37_A_Z,23.034,60.957,0.0
38,8emr-model-38_A_Z,18.007,40.687,0.0
39,8emr-model-39_A_Z,19.245,57.944,0.0
40,8emr-model-40_A_Z,23.803,65.084,0.0
41,8emr-model-41_A_Z,16.514,35.899,0.0
42,8emr-model-42_A_Z,21.767,63.612,0.0
43,8emr-model-43_A_Z,23.986,60.163,0.0
44,8emr-model-44_A_Z,24.821,67.563,0.0
45,8emr-model-45_A_Z,18.883,43.016,0.0
46,8emr-model-46_A_Z,15.355,30.39,0.0
47,8emr-model-47_A_Z,16.888,53.83,0.0
48,8emr-model-48_A_Z,14.791,32.805,0.0
49,8emr-model-49_A_Z,15.518,29.755,0.0
50,8emr-model-50_A_Z,22.452,59.231,0.0
51,8emr-model-51_A_Z,17.507,36.343,0.0
52,8emr-model-52_A_Z,14.602,28.738,0.0
53,8emr-model-53_A_Z,22.675,59.064,0.0
54,8emr-model-54_A_Z,17.132,37.077,0.0
55,8emr-model-55_A_Z,22.571,50.931,0.0
56,8emr-model-56_A_Z,29.133,79.974,0.0
57,8emr-model-57_A_Z,22.061,61.043,0.0
58,8emr-model-58_A_Z,26.243,73.71,0.0
59,8emr-model-59_A_Z,23.929,63.332,0.0
60,8emr-model-60_A_Z,22.434,64.257,0.0
61,8emr-model-61_A_Z,23.904,56.311,0.0
62,8emr-model-62_A_Z,10.727,21.232,0.071429
63,8emr-model-63_A_Z,27.924,71.985,0.0
64,8emr-model-64_A_Z,21.912,57.274,0.0
65,8emr-model-65_A_Z,21.933,64.844,0.0
66,8emr-model-66_A_Z,24.054,63.139,0.0
67,8emr-model-67_A_Z,21.053,61.499,0.0
68,8emr-model-68_A_Z,23.069,61.355,0.0
69,8emr-model-69_A_Z,26.1,64.331,0.0
70,8emr-model-70_A_Z,21.984,60.498,0.0
71,8emr-model-71_A_Z,10.835,28.307,0.0
72,8emr-model-72_A_Z,26.009,65.561,0.0
73,8emr-model-73_A_Z,20.183,61.741,0.0
74,8emr-model-74_A_Z,27.407,69.682,0.0
75,8emr-model-75_A_Z,21.086,52.079,0.0
76,8emr-model-76_A_Z,25.741,64.05,0.0
77,8emr-model-77_A_Z,20.85,61.719,0.0
78,8emr-model-78_A_Z,29.667,81.484,0.0
79,8emr-model-79_A_Z,28.052,70.012,0.0
80,8emr-model-80_A_Z,15.747,34.972,0.0
81,8emr-model-81_A_Z,25.46,69.91,0.0
82,8emr-model-82_A_Z,16.322,34.095,0.0
83,8emr-model-83_A_Z,11.232,25.391,0.0
84,8emr-model-84_A_Z,21.984,50.381,0.0
85,8emr-model-85_A_Z,19.336,42.965,0.0
86,8emr-model-86_A_Z,20.355,59.625,0.0
87,8emr-model-87_A_Z,20.773,52.218,0.0
88,8emr-model-88_A_Z,22.174,52.037,0.0
89,8emr-model-89_A_Z,19.734,61.201,0.0
90,8emr-model-90_A_Z,16.635,33.875,0.0
91,8emr-model-91_A_Z,17.126,56.209,0.0
92,8emr-model-92_A_Z,25.104,66.026,0.0
93,8emr-model-93_A_Z,19.721,59.467,0.0
94,8emr-model-94_A_Z,26.942,73.384,0.0
95,8emr-model-95_A_Z,23.948,61.963,0.0
96,8emr-model-96_A_Z,19.577,54.916,0.0
97,8emr-model-97_A_Z,16.172,32.002,0.0
98,8emr-model-98_A_Z,26.076,60.749,0.0
99,8emr-model-99_A_Z,21.162,55.875,0.0
100,8emr-model-100_A_Z,30.762,79.65,0.0
