model_i,model_PPI,iRMSD,lRMSD,FNAT
1,7yag-model-1_A_Z,0.83,2.856,0.850746
2,7yag-model-2_A_Z,26.635,62.04,0.0
3,7yag-model-3_A_Z,25.896,57.448,0.0
4,7yag-model-4_A_Z,25.328,53.683,0.0
5,7yag-model-5_A_Z,22.345,63.495,0.0
6,7yag-model-6_A_Z,21.586,58.916,0.0
7,7yag-model-7_A_Z,26.905,60.767,0.0
8,7yag-model-8_A_Z,13.792,29.204,0.0
9,7yag-model-9_A_Z,33.381,81.515,0.0
10,7yag-model-10_A_Z,10.036,17.809,0.0
11,7yag-model-11_A_Z,23.047,63.836,0.0
12,7yag-model-12_A_Z,34.834,88.936,0.0
13,7yag-model-13_A_Z,20.368,60.247,0.0
14,7yag-model-14_A_Z,38.074,89.505,0.0
15,7yag-model-15_A_Z,26.722,71.235,0.0
16,7yag-model-16_A_Z,22.78,68.179,0.0
17,7yag-model-17_A_Z,32.544,75.414,0.0
18,7yag-model-18_A_Z,21.202,50.988,0.0
19,7yag-model-19_A_Z,32.026,80.573,0.0
20,7yag-model-20_A_Z,23.344,60.547,0.0
21,7yag-model-21_A_Z,38.377,87.937,0.0
22,7yag-model-22_A_Z,1.056,3.109,0.850746
23,7yag-model-23_A_Z,30.777,70.684,0.0
24,7yag-model-24_A_Z,30.757,66.916,0.0
25,7yag-model-25_A_Z,29.995,65.845,0.0
26,7yag-model-26_A_Z,26.002,52.255,0.0
27,7yag-model-27_A_Z,36.066,95.917,0.0
28,7yag-model-28_A_Z,28.559,62.4,0.0
29,7yag-model-29_A_Z,34.232,88.215,0.0
30,7yag-model-30_A_Z,18.639,49.626,0.0
31,7yag-model-31_A_Z,27.576,75.252,0.0
32,7yag-model-32_A_Z,36.743,95.759,0.0
33,7yag-model-33_A_Z,11.221,23.143,0.0
34,7yag-model-34_A_Z,41.084,99.898,0.0
35,7yag-model-35_A_Z,20.716,62.4,0.0
36,7yag-model-36_A_Z,32.958,79.204,0.0
37,7yag-model-37_A_Z,22.567,65.849,0.0
38,7yag-model-38_A_Z,28.042,73.345,0.0
39,7yag-model-39_A_Z,20.314,64.442,0.0
40,7yag-model-40_A_Z,37.019,99.434,0.0
41,7yag-model-41_A_Z,21.42,57.406,0.0
42,7yag-model-42_A_Z,27.625,65.122,0.0
43,7yag-model-43_A_Z,39.728,94.325,0.0
44,7yag-model-44_A_Z,32.757,82.956,0.0
45,7yag-model-45_A_Z,34.074,71.442,0.0
46,7yag-model-46_A_Z,31.961,67.9,0.0
47,7yag-model-47_A_Z,32.373,67.017,0.0
48,7yag-model-48_A_Z,38.809,91.985,0.0
49,7yag-model-49_A_Z,38.682,94.447,0.0
50,7yag-model-50_A_Z,27.003,63.351,0.0
51,7yag-model-51_A_Z,20.317,66.362,0.0
52,7yag-model-52_A_Z,22.683,64.172,0.0
53,7yag-model-53_A_Z,31.286,82.477,0.0
54,7yag-model-54_A_Z,36.91,85.58,0.0
55,7yag-model-55_A_Z,22.465,55.73,0.0
56,7yag-model-56_A_Z,21.667,64.241,0.0
57,7yag-model-57_A_Z,28.287,71.479,0.0
58,7yag-model-58_A_Z,23.897,58.513,0.0
59,7yag-model-59_A_Z,41.953,92.212,0.0
60,7yag-model-60_A_Z,32.298,86.125,0.0
61,7yag-model-61_A_Z,26.573,64.74,0.0
62,7yag-model-62_A_Z,21.05,54.903,0.0
63,7yag-model-63_A_Z,29.414,81.07,0.0
64,7yag-model-64_A_Z,38.955,95.581,0.0
65,7yag-model-65_A_Z,34.644,93.171,0.0
66,7yag-model-66_A_Z,24.397,65.564,0.0
67,7yag-model-67_A_Z,28.495,61.935,0.0
68,7yag-model-68_A_Z,21.886,52.647,0.0
69,7yag-model-69_A_Z,26.302,67.771,0.0
70,7yag-model-70_A_Z,24.287,62.253,0.0
71,7yag-model-71_A_Z,22.131,57.254,0.0
72,7yag-model-72_A_Z,42.379,97.686,0.0
73,7yag-model-73_A_Z,28.659,68.735,0.0
74,7yag-model-74_A_Z,22.21,58.32,0.0
75,7yag-model-75_A_Z,18.695,60.98,0.0
76,7yag-model-76_A_Z,18.655,48.713,0.0
77,7yag-model-77_A_Z,12.397,26.489,0.0
78,7yag-model-78_A_Z,40.393,89.727,0.0
79,7yag-model-79_A_Z,25.788,68.303,0.0
80,7yag-model-80_A_Z,23.218,62.403,0.0
81,7yag-model-81_A_Z,13.571,42.835,0.0
82,7yag-model-82_A_Z,39.218,92.783,0.0
83,7yag-model-83_A_Z,34.516,86.008,0.0
84,7yag-model-84_A_Z,19.465,59.926,0.0
85,7yag-model-85_A_Z,13.347,28.855,0.0
86,7yag-model-86_A_Z,21.989,45.347,0.0
87,7yag-model-87_A_Z,13.078,33.017,0.0
88,7yag-model-88_A_Z,24.286,62.416,0.0
89,7yag-model-89_A_Z,20.989,56.933,0.0
90,7yag-model-90_A_Z,41.204,92.453,0.0
91,7yag-model-91_A_Z,40.051,94.333,0.0
92,7yag-model-92_A_Z,31.237,71.334,0.0
93,7yag-model-93_A_Z,20.371,51.947,0.0
94,7yag-model-94_A_Z,27.497,79.413,0.0
95,7yag-model-95_A_Z,28.592,64.592,0.0
96,7yag-model-96_A_Z,40.453,93.129,0.0
97,7yag-model-97_A_Z,22.107,62.977,0.0
98,7yag-model-98_A_Z,19.576,61.782,0.0
99,7yag-model-99_A_Z,26.288,52.606,0.0
100,7yag-model-100_A_Z,37.625,91.45,0.0
